Tweet,Classification
"@CoreyGrossJr the entire family's secret, there's a step brother, Mark Anthony Fenandez, Edu's son from his 1st wife, looks psychotic too",2
"Like the ANC and cartels, the retaliation narratives behind Islamic Terrorism are irrational and deluded. Paranoid Schizophrenia, created by practising the Islamic religion, causes these irrational justifications and deluded ideas of civilian guilt as reasoning for such attacks.",2
"That, my friends, is NOT neurodivergence or psychosis. That’s just being an asshole. I chewed him out something awful & we’re still having friendship problems. 

Anyway, this is a long thread, but this is a complex subject.",0
Psychologist testifies that in his opinion #Exantus suffers from a major mental illness and at the time of deadly stabbing of 6-year-old Logan Tipton he was in the midst of a psychotic breakdown #RonaldExantusTrial https://t.co/S9V6H5bc67,0
@flistiniyeh Fuck the ummah! They’ve turned their backs on every Muslim in need and work with enemies for money. The ummah consists of hypocrites. The brainwashed. The psychotic patriarchy. Oppression of women. I lost faith in the fucking useless ass umma,2
Miro larceny psychotic Leola Emmanuel biodegradable #nonsense #nonsenseengine,
A 20-Year-Old Gouged Out Her Own Eyes While In A Drug-Induced Psychosis https://t.co/Iullk5Kmrm,0
"Honestly, that’s psychotic asf. ???? No normal person does this. https://t.co/laDveaHIjz",2
"On @YouTube I’m getting lots of ads for prescription meds for issues I don’t have (stop smoking! no more eczema! decrease your schizophrenia symptoms!). 

Of course now I’m afraid I’m a closet smoker, the dry patch of skin is serious, and the voices in my head mean I’m ill.",0
"@paulwestonlibgb @SalfordGaz @metpoliceuk This is really strange because if this was about Jesus, the police would charge you for NOT believing these things. For not believing that Jesus was all of the above etc. But they also charge you for believing or ",2
"@talkRADIO You can tell he’s just psychotic. He hits her then puts her glasses on, he slaps her then pick up her purse and hands it to her. Poor excuse for not only a man, but a human being. But, he’ll getaway with it because he’s a celebrity. #sosad",2
@steakhousegirl The obsession with her is psychotic. I just don't get it.,2
Psychologist believes #Exantus was in state of psychosis during interview by police. That interview was recorded and watched by jury earlier in the trial #RonaldExantusTrial,0
"Sometimes I wonder how they teach the people of #RhodeIsland to drive. Because:
1. It’s psychotic 
2. It’s careless
3. It’s unsafe 
4. They are always hitting people
?????wth",2
Its almost like im psychosis runs in their family or something https://t.co/a2NE1xEQJY,1
?????? ?? ????? ???? ??? ??? ? ??? ???? ???? ??????? ? topic ???? psychosis ?,
We should start investing in mental healthcare stocks...??????Or straight jackets????????? https://t.co/CXI6NohAqA,1
Projet CGARD : 3 millions de USD investis https://t.co/PcZeunT1Fp https://t.co/DNhcLADZ1h,
im literally on the verge of a complete psychotic break i’m not even being dramatic i’ve been twitching like a crazy person and crying for like 2 hours https://t.co/MdvMJmuQ1D,1
Point de vue : Un dénigrement de trop https://t.co/pSaGJCAGNn,
"His mom calls me crying sometimes. “J says he’s going to hurt so-and-so.” When she 1st started doing this, I didn’t know for sure what was going on. J has psychosis, so it was possible he was having some sort of delusion he needed to hurt someone.",0
@cheechablunt @Nickelodeon you are literally psychotic,1
I don't think she likes being around kids.... https://t.co/qeiCfeVQKX,0
"That's one of the problems with Conservatives, unquestioning trust in authority. Unless it's not their authority. https://t.co/pFA14Rmgi0",0
"@TheFredRivera @voxdotcom Short version:  two species (Unipolars and Bipolars) and body and brain diseases (and brain differences) mostly happen on the Bipolar species-spectrum. Such as Autism,Schizophrenia and Down syndrome.",0
Good morning  https://t.co/uTojwpKsCj,0
"@fantasymojo @FugaziLifeFB With how drafts began a couple weeks ago, it's crazy to think that on March 14th, McKinnon would be picked ahead of Derrick Henry, and it likely wouldn't be viewed at as psychotic, in fact it might be viewed at as the smart move",2
"Psychologist says Exantus showed symptoms of mania and psychosis including lack of sleep, mood fluctuations, acting out of character.",0
Lons-le-Saunier : De l’arctique à Madagascar pour le 3e festival du … – Franceinfo https://t.co/HOU7fNK4gm,
Moral arbiter's like Ben Shapiro and conservatives of his ilk have a greater problem with tariffs than they do with government sponsored torture. People can endlessly bash the left but the right is just as ideologically schizophrenic.,2
check out this schizo https://t.co/mg8J2Rds6t,2
"@melissaschwartz @george_irish @realDonaldTrump As a rule, mass murderers are not necessarily the most law abiding citizens among us.  They will get their psychotic hands on guns.",
schizophrenia https://t.co/F1J6ylIVLv,1
@devilishlexi I might be the wildest but even a psychotic maniac like me needs them *he chuckled letting his arm wrap around her stomach*,1
& thing is burdett u truly are schizophrenic making stories up in ur head & believing them,2
"???????
The integrated landscape of causal genes and pathways in schizophrenia
https://t.co/5G2A1lrbqh",
Ganda sana ng Sin Island kaso ginawa pa psychotic yung babae ????? Same old shit I see in movies.,
"@sybilsdad @HackneyAbbott @NickTorfaenMP @jeremycorbyn I'm more concerned about my baby niece and nephew than a psychotic, adolescent dick waving contest everyone loses.",2
"@CleoIsAFag ^This.
My aunt has been schizophrenic her entire life. 
She had trouble with meds at first, but with what she's taking now you would literally never know. She's incredibly lucid, kind, and caring.  She even looks after my 89 year old grandmoth",0
@_elzorrodeoro @owenhalliday123 @BBCBreaking Owen forgot to take his Brexshit psychosis medications again... ??,2
His hate speech toward everyone else's freedom of speech is permitted though. Because he's a muslim. https://t.co/5MUH28YWAR,0
i am actually 3 seconds from a psychotic breakdown. i’m laughing and crying,2
"@bryanevansbe @JohnnyValdezi @Zexel2464Steven @LavaMatias @Boogie2988 still open for schizophrenia and brain tumour than? :P You seeing things is a moot point outside the fact that you might need to talk with a doctor or find a specialist. 
You believe in",1
"@heather_mousie Same!  

The one that always shits me is time management. 

I've worked as a legal aid duty lawyer. I know how to manage a busy remand list involving clients withdrawing from drugs, having psychotic episodes or just being obnoxious, plus d",0
"Listen to Psychotic Reaction by The Count Five - Album Reviews, Credits, and Awards - AllMusic -  https://t.co/zDCvTFpiAE
The first listen of the day. A last compilation of Garage Rock from this San Jose group.",0
"Erythema ab igne (EAI) found in 25 % of the 100 psychiatric patients in Group I (53 diagnosed with ""Bipolar affective disorder""), but in ""only"" 2 % of the 100 psychiatric patients in Group II (86 diagnosed with ""Schizophrenia"") ...",0
@niamhsineaad That's fucking weird and psychotic ???? I'd ring the police,2
@JackPosobiec Aujourd'hui c'est jeudi schizoïde. ??? ?????. ?? ?????? ?????.,
Schizophrenia is hereditary according to https://t.co/biq2gujIyS big concern is if i've for it after my mother. Happy thoughts.,0
"Im The Psychotic Gemini
Grab it =&gt; https://t.co/owQK3ImiYw
#geminilegging
#geminihoodie
#geminivneck
#geminimug
#ThursdayThoughts https://t.co/VIgWysBsOY",1
#study #Links #Physical #Characteristics and #brain #Health in #psychosis https://t.co/Q7548mN5Ed via @debugliesnews https://t.co/YEcvM8t6z3,0
Crying jags and feelings of euphoria are symptoms of mania or psychosis. Exantus exhibited both. #exantus,0
"As Prof Perez said: “The TYPPEX study will develop a form of talking therapy that will meet the needs of people with a common mental health condition and psychotic experiences with the aim of increasing recovery rates."" @TYPPEX_prog https://t.co/O2PSd5Etwv https://t.co/AzGUrBfRRq",0
"Another example: people (including partner) always say partner is abusive to me. Like, one time partner had a psychotic break & started to believe I was conspiring with his mom to steal his sperm & have his baby so I could steal his SSI.",0
"Synthetic #cannabinoid use predicted shorter length of inpatient #psychiatric hospitalization in patients with #bipolardisorder, #schizophrenia, and other #psychotic disorders, according to the findings published in Psychiatry Research. https://t.co/1yZLymwER3",0
"Peer reviewers play a vital role in maintaining and improving the quality of our research. 

If you're interested in finding out more, apply here: https://t.co/egBpGBgKpO https://t.co/obiRC3tDQF",0
@UBogart Dammit! I thought you were psychotic.,1
Blanchiment de capitaux : Plus de 233 milliards Ariary de montant à ce jour https://t.co/MLbIzpbgVz https://t.co/LMGRvjb4u8,
"@KTD89 Ktd, you're not paranoid schizophrenic or anything right? Hehehe just joking! Even if you are so it doesn't mean that you're not right about everyone being against y'all I'm not against you though",2
Village attaqué par 70 dahalo : Un mort et 4 otages https://t.co/dQZQZGyUs2 https://t.co/hAOf3MAYO9,
"@FoxNews We have a psychosis in US of always finding ways to hate something about country, egged on by media. 

Surprised not lower.",2
"@italk2angels @DrOz @drdrew @wellmindMD @DrCaseyJordan Side effects associated with Seroquel include psychosis, paranoid reactions, delusions, depersonalization and suicide attempt.",0
"Dr. Kenneth Benedict, a psychologist, says Exantus suffers from a major mental illness and had a psychotic episode during (Logan's murder.)@LEX18News https://t.co/0lSHr00tXb",0
"@TeaPainUSA ""conservative fascism, chaos and child-slaughter"" — oh you mean PSYCHOSIS?",2
@HouseVetAffairs Pls ask Dr. Clancy if she's taking same anti-psychotic meds @DeptVetAffairs over prescribes to #Veterans? I swear she sounds like is a robot because it's clear she's annoyed for having to testify. #VAAccountability #WhyVAPayingMe2Tweet #w,1
@JOXRoundtable you can hallucinate on cocaine if you do enough and are awake for several days. Cocaine psychosis,0
"@BLennox4 @normanlamb Public bodies should be accountable to the public and be honest about problems and challenges.

The first step of solving problems is admitting and acknowledging the problem exists, denial is unhelpful and lets down the public #psych",0
thank god they found this psychotic piece of trash. i hope he’s behind bars for the rest of his sorry life. https://t.co/OiU4C1l5WX,2
On sorting out manipulative/abusive behavior from neurodivergent behavior. https://t.co/4358VcM75V,0
This is beyond crazy. More like psychotic :( https://t.co/wM1g2RNM2s,2
*??? ????? ?? psychosis ????? ??? ?? ?? ????? ????* https://t.co/r6qZ3mouQo,
@VinceGottalotta @DavidChristoson @LessonsSosroni @rp4freedom1st @Fuctupmind @thebradfordfile @Shawtypepelina @TheGoldWaterUS @passionchica @AmericanHotLips @Maggieb1B @PoliticallyRYT @Trumperland @Zola1611 So you either support removing knives or support,2
"@rachelparris @PookyH I see you, and raise you THIS https://t.co/lTE8pnBQTh",0
"Stigmabase | ZAHIV — HIV-Positive Patients Six Times More Likely to Have Schizophrenia - Researchers from the British Columbia Centre for Excellence in HIV/AIDS in Vancouver, conducted a population-based retrospective cohort study that estimated… https://t.co/BFy3slGmq0",0
@Flyover_StateKS @gayboy0722 @FoxNews @DLoesch @POTUS @NRA Every school shooter is not a criminal. Very few are. Many are just very mentally ill but haven’t been diagnosed due to fast forming schizophrenia. So they were still able to buy guns or steal fro,2
“Do they think I’m quirky and fun or actually on the verge of a psychotic break”- me contemplating what my professors think of me,1
"??????????
Schizophrenia 
When we r enjoying PSL https://t.co/lDb2x6ZU4S",1
@todd_coleman Yup. I have a nephew who developed schizophrenia and tried to kill himself. The kid was (is) brilliant.,0
"@BLennox4 @normanlamb It gives me a glimmer of hope to hear politicians from all parties acknowledge the evidence that early Intervention in #psychosis improves people’s chances of accessing education, employment, reaching their aspirations & staying aliv",0
Big question: Will jury believe Exantus was in a psychotic state at time of murder? https://t.co/hMX8cuxWNh,0
"....this is the psychotic stuff that gives me questions. You come asking for tasks, offering to pay and when I don't respond fast enough, this crap? This is why I make men wait. You see the true them.

#findom #femdom #failfolder https://t.co/OTgrJpkaU4",2
Lol I tweeted saying I was going to dye my hair and then NEXT DAY you said you were going to dye yours you're such a stupid fucking whore it's unreal!!!?????? you literally copy everything I do you psychotic bitch!,2
@realDonaldTrump Who is the destabilising force? Your friend and ally the reformer of the century MBS. Continue to fool the Saudis by selling them arms and creating a fear psychosis of Iran in their hearts. They deserve it. https://t.co/qnoeP5kCwX,1
"Look this has been fun (it hasn't) but it's time. This is like Vinny the Chin starting to act erratic as a troll, then actually becoming psychotic. Don already has the robe.",2
"@DiegoFusaro Caso spia russa senza prove? tuttavia, anche se sembra assurdo schizofrenico ingiusto e demenziale: tuttavia: Gb, Usa, Francia e Germania accusano Mosca. Russian spy case without evidence? however, even if it seems absurd schizophrenic unfair",
"Over a hundred and fifty harassment tweets by Celeste Thomas. All diligently recorded. All highly obsessive and malicious, psychotic in description - it's a perfectly fair description.",2
Edition du 15 mars 2018 https://t.co/hARo7TjFak,
"What lengthens the duration of untreated first-episode #psychosis? Misattribution of symptoms, #stigma, self-reliance, and negative contacts with the treatment system. https://t.co/TAM9c3O020
#EarlyIntervention  #FEP  #BrainAwarenessWeek https://t.co/m1rOGQiC2O",0
@markhoppus omg she's schizophrenic...,0
@22Americanfirst I can't believe hillary thought her dumbass remarks that degraded and talked down to #American women were OK?? She is a psychotic??depraved woman! Putting up w/ Bill's shenanigans and then coming up empty-handed in 2016 has done a number ,2
Absolutely! I work with early intervention in psychosis team and see this as prodromal for first episode but of course timely help reduces it https://t.co/dJg8zrkFqm,0
Another thread on psychosis & ableism. This one is about the idea that neurodivergent people are manipulative and hurtful.,0
"Russian spy case without evidence? however, even if it seems absurd schizophrenic unfair and insane: however: GB, USA, France and Germany accuse Moscow.",2
"@Royw1955 @bbusa617 Saleh Moslem: Turkey kills Kurds in Afrin with European weapons https://t.co/0KGeiXN8T8
Russian spy case without evidence? however, even if it seems absurd schizophrenic unfair and insane: however: GB, USA, France and Germany accuse Mo",2
"Russian spy case without evidence? however, even if it seems absurd schizophrenic unfair and insane: however: GB, USA, France and Germany accuse Moscow. https://t.co/WqSwo2KFnb",2
"""Writing is a social acceptable form of schizophrenia."" E.L. Doctorow  #writers #authors",1
Are some causes of psychosis caused by microbial agents?  A review of the evidence.  https://t.co/b58Pc6sJBD,0
"Psychologist says there were signs of psychosis in #Exantus seemingly random drive to Versailles b/c of things like lack of planning and lack of self-awareness. Signs in police interview include sudden emotional reactions, internal distractions, reading signs #RonaldExantusTrial https://t.co/MiBRLG0nsY",0
Thread https://t.co/BwSxhUQjJR,0
"@ZMX06 @mnaseba @Techrine41 @Kokokolalove @kristinagarci @myaddictionssv @fck_u_all__ Where did you read this info? So how do they know the sis is schizophrenic? Will she show up too? And how will they justify her niece sudden appearance? ??
#SiyahBeyazA?",0
"Saleh Moslem: Turkey kills Kurds in Afrin with European weapons https://t.co/0KGeiXN8T8
Russian spy case without evidence? however, even if it seems absurd schizophrenic unfair and insane: however: GB, USA, France and Germany accuse Moscow. https://t.co/eXXZIXbCdj",2
"Over a hundred and fifty harassment tweets by Celeste Thomas. All diligently recorded. All highly obsessive and malicious, psychotic in description - it's a perfectly fair description. Among the most offensive those promoting convicted violent stalker Daniel Hart.",2
@LittleAlienGirl True! I have learned a great deal through like first hand experience with stuff like this and like... trauma related mental health stuff. I wouldn't be nearly as helpful on topics like dealing with psychosis because I don't actually have ,0
"Im The Psychotic Gemini
Link =&gt; https://t.co/CElch08kgW
#geminilongsleeve
#geminihoodie
#gemini
#geminitanktop
#hpm18 https://t.co/dMUg0QvcU8",1
@rockinrob7970 @nancyrbush @cindyrelish @cherylogle @Bray_NYC @smartassjek @isa_m_ferreira @ESTHERBLQU @csu_scientist @Faichilleach @weprogressives @KikiAdine @brando5112 @MAGAtSlayer @brooklinegirl @schroddybach @scott_catharine @panamapammie @nyyankeech,2
"See also this article about the history and cause of self-enucleation. 
A 20-Year-Old Gouged Out Her Own Eyes. Here’s What Makes People Do This. https://t.co/iOLEd7IiJa",0
"@Petmorr @BAFTAGames @LifeIsStrange @NightInTheWoods @BMMLgame @FigsLab @ARTEfr @NinjaTheory @LDoJ_game @ovosonico @SquareEnix @glitchers To add to that above, which I agree, LIS did leave a mark on me - Hellblade really done research into mental health a",0
@SkyNews He's either a junkie or a schizophrenic.,2
"@bryanevansbe @JohnnyValdezi @Zexel2464Steven @LavaMatias @Boogie2988 People see unicorns and 7 headed tiger/sloths hybrids when they do drugs also. You mean they exist because of some people ""experience"" it during their high time? What you are explaining",1
"""Listening to the (((psychotic politicians in Britain’s parliament))) yesterday, I thank God #Putin is in charge of #Russia’s nuclear arsenal instead of me.",2
"""Psychotic""

A three syllable word for any thought too big for little minds.",1
"@TheNickGeller @RyanAFournier This is in part to do with social media and how easily anyone, even with no intelligent or research or facts, can now be heard. At least before the village idiots had no voice, now every crazy feminist, dumb Liberal, schizoph",2
You know he’s psychotic the way he slapped the fuck outta her and then picked all her shit up and helped her https://t.co/EaenTmDOL4,2
"Early stages of schizophrenia can be treated with nutrients found in Brussels sprouts, shellfish, and oranges – https://t.co/vtU5qHaDgt https://t.co/aEyRNuhuFo",0
'Cradle' of schizophrenia in brain found https://t.co/ioC8wA4Woz https://t.co/GpF67NKmWa,0
"@euronews If your bathtubs are empty of any water that means the russians have drunk it. You are or idiots, or just sick by schizophrenia.",2
"@ViperRaiyu + aside, her gauntlets on and activating her Combat Instinct, she ran towards the psychotic woman. She'd try to bait the woman into swinging the blade so she can take a grip of the arm and break it.",1
@WilliamHagueMP #sevenyearswitch! You changed your tune more times than a schizophrenic budgie ! https://t.co/kh7K1bmMPZ,2
"Damned straight there is a cabal out for psychotic death and blood. These people are shrieking in extreme hate like banshees 24:7. This must be confronted by the law and imprisoned for #sedition and #insurrection and some, for #treason. 

We are TIRED of being abused by thugs. https://t.co/7cjfBtDDGc",1
"‘It’s exhausting not being human’ – the weird world of Legion’s Aubrey Plaza
https://t.co/cBAlmxtuZu

By Rachel Aroesti How do you play a gender-fluid psychotic figment of a mutant’s imagination? The star of the superhero psychodrama reveals all – and explains why her friends ...",0
@EchoOfLostVoice @furbaIIs @catcontent Don't sugar coat it. This is psychotic. It needs a doctor!??????,2
i’m a writer suddenly https://t.co/26NdhaQBJG,0
"Depression, bipolar or schizophrenia?",0
Just a schizophrenic one...?????? https://t.co/P0edhnfUqE,1
"King CC!!! 
Her family should ensure she see a therapist twice in a week. 
Madness isn’t only hebephrenic  schizophrenia #BBNaija https://t.co/EetnF3xEAm",1
"I said I like crazy, not psychotic",1
"happy Jordan Year to my sisnem, alleged girlfriend ??, twin, ride or die, partnaa and the most lovable crazy psychotic best friend. https://t.co/3Ik14YWLMm",1
"#LOL #DrainTheSwamp? Swamp spox is #Hannity !
Sean Hannity #busted #trending ;-) 8-)
#TrumpToadies #QAnon #pepe #MAGA #InsHannity 
#MichaelCohen #TrumpCrimeFamily
#MafiaDonTrump #MoneyLaundering
#FauxNews #propaganda busted bigtime.
#BoycottHannity
#Karma
#LOLOL !!!!!!!!! https://t.co/JMV3FeoziZ",1
"@funder @TheDemCoalition @realDonaldTrump is trump schizophrenic,trump like talk about him self as as a good friend the business man ,having a go at the leader of of different countries. Next his bust friends,?!?!then talk and saying the leader the USA , ",2
Greatest. https://t.co/U21ohbLWLt,
"@shannonrwatts @NRA Like a psychotic murderer who goes off the rails, the @NRA doesn’t care about details in their proclamations month in and month out.",2
"@on_deporte Videos- #Neuroborreliosis,#Lyme,#MS,#ALS, #CIDP,#Neurodegenerative Dis,#Parkinson's,#Autoimmune Diseases,#Rheumatoid Arthritis, #SLE,#Polymyalgia Rheumatica,#Antiphospholipid Syndrome,#TBI,#PTSD,#Mental Illness,#Bipolar Disorder,#Schizophrenia",0
"""Here in the UK, research shows that mental disorders such as anxiety and depression are most prevalent among black women, while black men are 10 times more likely to have experienced a psychotic disorder within the past year as white men."" https://t.co/h8csigjGGl",0
"HARVARD PROFESSOR OF PSYCHIATRY, DR. LANCE DODES, EXPLAINS WHY TRUMP IS DANGEROUSLY ""PSYCHOTIC.""
https://t.co/7pznge0vuR",2
Ha ni pun cam best gak ni ?? https://t.co/PSMNShyFuF,
".@RealJamesWoods is a POSER. “Ever since his mesmerizing performance as a psychotic cop killer in 1979’s The Onion Field, Woods has possessed the image of a driven, angry, over-the-edge wing nut. Some say the image is all too authentic.“

/thread 1 https://t.co/kEhnCpuLwb",2
@SkyNews Who the fuck is paying £11k to have their face caved in by a group of psychotic Russian hooligans? And just to add to the punishment they also have to watch England play football for 90 mins?,2
"My guest today is @darrenodonnell. Darren is a novelist, essayist, playwright, director, designer and performer. In this episode, we discuss Darren's work in theatre and how a psychotic breakdown when he was younger lead to a spiritual awakening. https://t.co/1NPPLzwJUj",
"A subtweet so psychotic...

That you just know we will see that person on the news one day for having chopped up bodies in their basement.",2
"@RahulGandhi Wah!Another Political Stunt,Dy Eco Advisor--  clearlyStates that there is No Cash Crunch, No Shortages in Cash!! 
Don't create Fear Psychotic Syndrome inside ppl, FearMongering, Don't Politicise, Karnataka wl give A befitting reply 
Don't cre",1
Child killer FREED without spending a day in jail https://t.co/c18f0cNl6G,0
"Does it do no harm? Nope, of course not. Neither is drinking 5 gallons of water, or eating a Big Mack. Bronze Age taboos, liquefy cranium residing neurons, more than THC. #justsaying https://t.co/7dbzmUQuGh",0
"I uploaded a new episode, ""Ep 041 - Diabolical Mom, Pre-Nuptial Night Terrors, Psychotic Cousin & Wedding Do-Over"", on #spreaker #bride #bridezillas #canadian #comedy #funny #gossip #groom #wedding #weddings https://t.co/Fw0hoN6ajZ",0
[schizo] The association between Borna Disease Virus and schizophrenia: A systematic review and meta-analysis. https://t.co/awufGHg41F,0
"@barneyfarmer It's funny that your whole schtick is (very funny) cartoons about the psychotic weirdos at the edge of society. And yet here you are, very clearly one yourself.",2
@RichardDiNatale stupid idea legalizing cannabis.  You obviously dont see the ugly side like I do.  ie drug psychosis and panic attacks.,0
@MrFluffySavage I'm schizo,0
"Reason we have Pharmacists, is cause Doctors know little about drug interactions. Pharmacists save doctors arses, Norman is a nice man, but ignorant to peer reviewed science. Schizophrenia rates are 1% of population, in high cannabis areas, to no cannabis areas, both 1%. #TheDrum",0
"#Rahu represents the shadow of the #moon. It has the power to darken the #moon, negate and obstruct. It represents paranoia, trance, hallucinations, #psychosis, and other similar negative #mental states. https://t.co/DP8N6H1q3J",0
Bark Psychosis - ///Codename: Dustsucker / Limited to 1000 Black Vinyl 2xLP https://t.co/Egb9VY36gD #vinyl,0
Disruption of Conscious Access in Schizophrenia https://t.co/fkWbxsvQYL by @StanDehaene ‘s team in @TrendsCognSci https://t.co/CiHcHvDP4e,0
"Heh, preach it! : https://t.co/j5iqux3GMl",0
"New insights in modularity of primary sensory brain areas in schizophrenic patients: good job Cecile!!

https://t.co/e8a6CRLu2s https://t.co/1LoMwDrodN",0
@WhiteHouse also tell your little person that he can stop messing with my email. I signed up for email back in 2011 I am just now getting? No Hillary isn't to blame for it ... How delusional and schizophrenic.,1
We have black males following me having sex with whiter males of other races- as they denied me   These black males must be psychotic to have even THOUGHT such thing would pass my bar.  This WAS being done in their view for some HIP HOP way which I am NOT even aware.,2
lmfaooo NO way would i ever smoke with my psychotic ass family https://t.co/lgNeU16Pwu,2
@candy_cavalier @tedlieu You've never listened but you have an opinion you consider having worth?  Typical psychotic lefty,2
"By the way, there is no tobacco in cannabis, and cannabis smoke acts as an expectorant. Actually increases lung function like a cough mixture, opening the bronchial passage. An accidental discovery too, irony. https://t.co/7dbzmUQuGh",0
"@ewanorandy @52Kiii @MetroUK He clearly had impartial trans assessment from clinicians!!

'Andre suffers from bipolar, paranoid schizophrenia and should not be approached by members of the public.'",0
"... People are doing online. That probably sounds crazy, but I just cant. By that time that though my facebook was back up and I started a new Instagram account. During a psychosis that fall I had deleted a few accounts and a lot of categories on my Pinterest board...",0
@Vengaa_Dash What the fk is wrong with you fking psychotic bitch!!!,2
"@DailyMailUK ""Controlling"" interesting way of saying abusive, psychotic scumbag",2
Welsh police forces to consider more tasers (https://t.co/mCbfJ8mpW7) 'justified' following officer being stabbed Oct 2017 - perpetrator was suffering from a psychotic episode (https://t.co/bsm7o9bXXZ) Is this appropriate use of force? https://t.co/kqRsOav1Gq,0
The association between Borna Disease Virus and schizophrenia: A systematic review and meta-analysis https://t.co/CSrvdaCXvp A role seems to be indicated from the data so far.,0
"@realDailyWire @benshapiro @Comey What a loser! He threw such a fit when he got fired, he basically forced the media to put him in a permanent lime light. He's loving every moment of it. I expect a woman to act such ways, but for a man to become an attent",2
@UmehOMA I just said this! We do not understand psychotic breakdowns in this part of the world,0
"@SkyNewsAust @GregHuntMP Ok, if you’ve got schizophrenia in the family definitely not the best idea
But “gateway drug”? Lol
As someone who smoked weed regularly until over 3 years ago(haven’t since) I can tell you, you don’t move on to anything else.... b",0
"@troysanusi Alex made Cee-C look like a psychotic bitch in live TV.
Alex got what she deserved , a taste of her very bitter medicine .
#bbnaija",2
"@Pezzamystic1 Erm.. no, Pez. It's not 'hardly dangerous'. It can lead to psychosis & the development of schizophrenia, which is often not the reversible kind. The schizophrenic syndrome can last months even when it is reversible.",0
"Matthew Mellon (RIP) previously battled OxyContin addiction. Spending $100,000 a month, taking about 80 pills a day. 'Check into hotels, start getting paranoid delusions of cocaine psychosis, leave without paying his bill.' Hooked on prescriptions following a surfing injury. https://t.co/Ge4AwD1ogS",0
[schizo] Anxiety does not contribute to social withdrawal in the subchronic phencyclidine rat model of schizophrenia. https://t.co/pfo8EKfobR,0
@funnymcmurray @RealMuckmaker I feel sorry 4 Barron who is still young n can get sucked into a family suffering perhaps from Stockholm Syndrome or a shared psychosis.,0
"most mental diseases are chronic&there's no ""complete&definite"" miraculous recovery.just constant inner work to maintain a stable state of mind.but I'm happy when I get some little results,like merging identities or gettin out of depression or stopping manic plans/psychotic moods",0
Can't wait to get this show up and running!!! https://t.co/e5ZzD7MwM3,0
so on those on those odd times the marijuana user can't get any an they turn to alcoholic beverages as a substitute an its here where they are at risk of psychological illness or a psychotic episode,0
"@carterwpage @IngrahamAngle Well duh!!! That’s the only place where they’ll overlook your lying ass treasonous and schizophrenic behavior, silly goose!! ??????????????",2
#Leftists use every little #FALSEPRETENSE to cry whine and divide by #Propaganda just like good little #psychotic #apparatchiks do! #Stalin would be very proud! https://t.co/bRVDwntHg6,2
"@desireed665 @PARADEDRIVER @justice69hall @davidhogg111 No, you’re psychotic though. ????
Get help!",1
Schizophrenia is Pellagra — Abram Hoffer Quote https://t.co/7etW7511Kh,0
"Hey, Spring, could you get your ass here already?! I’d really like to check out my new stomping grounds. Damn the weather is acting all schizophrenic around here....",1
"The Doctor and Noddy go to a U2 concert, where they are attacked by a legion of psychotic nans",2
I had psychosis I didn't know,0
The latest Psychosis Photo Daily! https://t.co/DE2PkZcrsx,0
@PhantomFGAU @SevcoSix Schizophrenia mandatory I guess ???,0
Symptoms of Schizophrenia. https://t.co/qg9LyboZVF,0
I liked a @YouTube video https://t.co/rUKo94JPXp Interview: Catatonic Schizophrenic,0
"Thankfully, Norman was honest re cannabis being NOT a gateway drug. A myth to suggest it is. https://t.co/7dbzmUQuGh",0
@NoSpinPolitics The study you are referring is based on individual with preexisting mental condition are more likely to have psychotic episodes if they do any drug including Marijuana. Sort of like saying a violent person is more likely to be violent when,0
Stop the cannabis scaremongering! https://t.co/BglDRNwoVv,0
Tim Kosowic: Psychotic child killer on the streets since confession | Daily Mail Online https://t.co/Wh9A5M0BzB,2
Ep 5: Round Two of 2 Truths and A Lie (Games a Bipolar and a Schizophrenic Play) https://t.co/ztMhCvZqDg,0
K-SADS-PL(Kiddie-Schedule for Affective Disorders and Schizophrenia-Present and Lifetime Version)????... https://t.co/MsC3vj93y1,0
"@DoraGezwitscher so weit sind wir schon.... #Linke kritisieren Allieerte für gezielte und menschenschonende Attacken auf Giftgasanlagen Syriens, aber versuchen mit Chemikalien Anschlag im eigenen Land eine geordnete demokratische Entwicklung zu stören. Wi",
"@rtlinfo @Cristiano @crisis_uk @CO_Scientology don't feel safe where aim living 
#Update 
#suicide
#psychotic
#depression 
#BELGIUM @ThereMindset @theresa_may https://t.co/DEnMt34tc0",0
"@kuffodog @dwnews If your bathtubs are empty of any water that means the russians have drunk it. You are or idiots, or just sick by schizophrenia.",2
I spy some cultural and social neuroscience going on here ???? https://t.co/Mceqq7cZmb,0
[schizo] Non-Coding RNA as Novel Players in the Pathophysiology of Schizophrenia. https://t.co/G5qKplzXdQ,0
"might be the theory of a unified psychosis makes sense.mental disorders seem to be much interrelated.I never notice where there're borders betw mania,depression,psychotic thoughts,anxiety or https://t.co/a7YRGRhhRb's just that science categorizes them.",0
"@AaronBBrown @euronews If your bathtubs are empty of any water that means the russians have drunk it. You are or idiots, or just sick by schizophrenia.",2
Penonton jg ga suka kamu. Dan karaktermu https://t.co/8lGU5rfqjp,
https://t.co/N9HT5ZjrpD,
@jrsalzman Bet he doesn't even know what schizophrenia is.,0
"@BBCSteveR If your bathtubs are empty of any water that means the russians have drunk it. You are or idiots, or just sick by schizophrenia.",2
